cond,seed,config,method,job,site,fed_auroc,fed_auprc,own_gain,local_auroc,local_auprc,prevalence,best_epoch_mean,delta_auroc,delta_auprc
0.3_0.0,123,A_gammA_S,fedavg,alpha0.3_gamma0.0_seed123/fedavg,site_A,0.7908343290869261,0.6698622896567095,0.0534886307424468,0.79392,0.666489,0.3094,6.4,-0.003085670913073879,0.003373289656709466
0.3_0.0,123,A_gammA_S,fedavg,alpha0.3_gamma0.0_seed123/fedavg,site_B,0.7752282183211058,0.4248925444002486,0.045928092842305,0.782336,0.439465,0.1325,6.6,-0.007107781678894254,-0.0145724555997514
0.3_0.0,123,A_gammA_S,fedavg,alpha0.3_gamma0.0_seed123/fedavg,site_C,0.7922859711115244,0.4793339623985325,0.0511335317091314,0.804963,0.531942,0.1742,4.8,-0.01267702888847555,-0.05260803760146754
0.3_0.0,123,A_gammA_S,fedavg,alpha0.3_gamma0.0_seed123/fedavg,site_D,0.7464937141196134,0.2493858280924097,0.0485420276219216,0.761419,0.295618,0.0941,5.8,-0.014925285880386552,-0.0462321719075903
0.3_0.0,123,A_gammA_S,fedavg,alpha0.3_gamma0.0_seed123/fedavg,site_E,0.7885940685086871,0.2913592837105339,0.0404268573746752,0.750518,0.243088,0.071,9.6,0.038076068508687055,0.04827128371053388
0.3_0.0,123,A_gammA_S,fedprox,alpha0.3_gamma0.0_seed123/fedprox,site_A,0.7905777619313765,0.6683497178012181,0.0532320635868972,0.79392,0.666489,0.3094,6.4,-0.0033422380686234376,0.0018607178012181036
0.3_0.0,123,A_gammA_S,fedprox,alpha0.3_gamma0.0_seed123/fedprox,site_B,0.7796695074506792,0.4203492767193937,0.0503693819718784,0.782336,0.439465,0.1325,6.6,-0.0026664925493208314,-0.01911572328060629
0.3_0.0,123,A_gammA_S,fedprox,alpha0.3_gamma0.0_seed123/fedprox,site_C,0.7922261484098938,0.4798799785573859,0.0510737090075008,0.804963,0.531942,0.1742,4.8,-0.01273685159010618,-0.052062021442614126
0.3_0.0,123,A_gammA_S,fedprox,alpha0.3_gamma0.0_seed123/fedprox,site_D,0.7461059860245773,0.2449231420188939,0.0481542995268855,0.761419,0.295618,0.0941,5.8,-0.015313013975422618,-0.050694857981106095
0.3_0.0,123,A_gammA_S,fedprox,alpha0.3_gamma0.0_seed123/fedprox,site_E,0.7882034587178202,0.2924675168398477,0.0400362475838083,0.750518,0.243088,0.071,9.6,0.03768545871782014,0.049379516839847676
0.3_0.0,123,A_gammA_S,fedadaptproto,alpha0.3_gamma0.0_seed123/fedadaptproto,site_A,0.7974143330699406,0.6712450118796729,0.0600686347254613,0.79392,0.666489,0.3094,6.4,0.003494333069940625,0.0047560118796728945
0.3_0.0,123,A_gammA_S,fedadaptproto,alpha0.3_gamma0.0_seed123/fedadaptproto,site_B,0.7802338618652513,0.4364915571276304,0.0509337363864506,0.782336,0.439465,0.1325,6.6,-0.002102138134748688,-0.002973442872369614
0.3_0.0,123,A_gammA_S,fedadaptproto,alpha0.3_gamma0.0_seed123/fedadaptproto,site_C,0.7886916496187465,0.4871485747331024,0.0475392102163535,0.804963,0.531942,0.1742,4.8,-0.01627135038125349,-0.04479342526689761
0.3_0.0,123,A_gammA_S,fedadaptproto,alpha0.3_gamma0.0_seed123/fedadaptproto,site_D,0.7476535517997085,0.2891346231675766,0.0497018653020167,0.761419,0.295618,0.0941,5.8,-0.013765448200291464,-0.006483376832423393
0.3_0.0,123,A_gammA_S,fedadaptproto,alpha0.3_gamma0.0_seed123/fedadaptproto,site_E,0.7963013899931046,0.307992338096248,0.0481341788590927,0.750518,0.243088,0.071,9.6,0.045783389993104606,0.06490433809624799
0.3_0.0,123,A_gammA_S,scaffold,alpha0.3_gamma0.0_seed123/scaffold,site_A,0.7867818528725885,0.6544023308995472,0.0494361545281092,0.79392,0.666489,0.3094,6.4,-0.007138147127411454,-0.012086669100452752
0.3_0.0,123,A_gammA_S,scaffold,alpha0.3_gamma0.0_seed123/scaffold,site_B,0.7792417388119739,0.4009665547483089,0.0499416133331731,0.782336,0.439465,0.1325,6.6,-0.0030942611880261373,-0.038498445251691105
0.3_0.0,123,A_gammA_S,scaffold,alpha0.3_gamma0.0_seed123/scaffold,site_C,0.7922859711115244,0.4793339623985325,0.0511335317091314,0.804963,0.531942,0.1742,4.8,-0.01267702888847555,-0.05260803760146754
0.3_0.0,123,A_gammA_S,scaffold,alpha0.3_gamma0.0_seed123/scaffold,site_D,0.7407189081270869,0.2399738223956362,0.042767221629395,0.761419,0.295618,0.0941,5.8,-0.020700091872913107,-0.0556441776043638
0.3_0.0,123,A_gammA_S,scaffold,alpha0.3_gamma0.0_seed123/scaffold,site_E,0.7808145281722603,0.2177189122252763,0.0326473170382484,0.750518,0.243088,0.071,9.6,0.03029652817226025,-0.025369087774723686
0.3_0.0,123,A_gammA_S,fedadapt,alpha0.3_gamma0.0_seed123/fedadapt,site_A,0.7899335334476845,0.6718971694205148,0.0525878351032051,0.79392,0.666489,0.3094,6.4,-0.003986466552315493,0.005408169420514808
0.3_0.0,123,A_gammA_S,fedadapt,alpha0.3_gamma0.0_seed123/fedadapt,site_B,0.769386549753245,0.4007933597925323,0.0400864242744443,0.782336,0.439465,0.1325,6.6,-0.012949450246754979,-0.03867164020746772
0.3_0.0,123,A_gammA_S,fedadapt,alpha0.3_gamma0.0_seed123/fedadapt,site_C,0.791177236377162,0.4814571965229132,0.050024796974769,0.804963,0.531942,0.1742,4.8,-0.01378576362283801,-0.05048480347708684
0.3_0.0,123,A_gammA_S,fedadapt,alpha0.3_gamma0.0_seed123/fedadapt,site_D,0.7481942675524652,0.2827903776943944,0.0502425810547734,0.761419,0.295618,0.0941,5.8,-0.013224732447534748,-0.01282762230560558
0.3_0.0,123,A_gammA_S,fedadapt,alpha0.3_gamma0.0_seed123/fedadapt,site_E,0.7908228050806906,0.3221869657811502,0.0426555939466787,0.750518,0.243088,0.071,9.6,0.040304805080690564,0.0790989657811502
